id_firma,firma,persoana,candidati_mx
831,INSTAL EXPERT SRL,Antal Tibor,instalexpert.ro;instal-expert.ro
835,IQUEST TECHNOLOGIES,Ordean Mihaela Georgetta,iquesttechnologies.com
840,KINETOTEAM,Ionela Nora Cucu,kinetoteam.ro
842,KNOX GROUP SRL,Salajean Daniel Mihai,knoxgroup.ro;knox-group.com
855,LUXOR RESIDENCE SRL,Ionas Feurdean,luxor-residence.ro
874,MOBILE DISTRIBUTION SRL,Chira Vasile Calin,mobiledistribution.eu;mobile-distribution.ro
875,MODULO DECORATIVE SOLUTIONS,Mihai Gavris,modulo.ro;modulo.com
876,MOL ROMANIA PETROLEUM PRODUCTS,Ene Camelia,molromania.ro
884,NADI AGRO SRL,Cordos Radu,nadiagro.com
885,NAGARRO IQUEST TECHNOLOGIES,Laszlo Nagy,nagarro.com;nagarro.eu
889,NEOMEQ SRL,Peres Florin Cosmin,neomeq.com
897,NORSTAL SRL,Vasile Cristian Tintelecan,norstal.ro;norstal.com
900,NTT DATA,Maria Metz,nttdata.ro;nttdata.com
905,OXYGEN,Ruxandra Marin,oxygen.ro;oxygen.com
909,PANEMAR MORARIT SI PANIFICATIE SRL,Nicolae Chiorean,panemar.ro;panemar.net
914,PIZZAROTTI SA,Colla Marco Giuseppe,pizzarotti.eu;pizzarotti.net
917,POPA M CONSULTING,Popa Mircea Aurelian,popaconsulting.ro;popaconsulting.com
920,PREMIERE M,Maria Man,premiere.ro;premiere.com
922,PRO TOOLS EXPERT,Adrian Stanculescu,pro-tools-expert.com
928,PUNCTUAL COMIMPEX SRL,Vasile Muresan,punctualcomimpex.com
939,REMS REAL ESTATE,Cristina Gherman,remsrealestate.com
941,RITAK SRL,Adam Istvan,ritak.com
944,RODEAPPS SRL,Herea Buzatu Bogdan,rodeapps.com
953,SAAN TRUCKING SRL,Alferink Rutger Alexander,saantrucking.com
957,SANEX SA,Grindeanu Petrisor,sanex.ro;sanex.eu
960,SDC IMOBILIARE,Stefan Berciu,sdcimobiliare.ro
964,SERVELECT SRL,Andrei Ceclan,servelect.ro;servelect.net
967,SKIPTRANS SRL,Jost Roland Ernst,skiptrans.com;skiptrans.net
968,SMALL FOOTPRINT SRL,Nocetti Nestor Augusto,smallfootprint.com;smallfootprint.eu
969,SOFTECH SRL,Levente Szelyes,softech.ro;softech.eu
971,SOFTVISION SRL,Delbrook Thomas,softvision.ro;softvision.com
972,SOLARIS REAL ESTATE,Calin Visan,solarisrealestate.com
979,STEELCASE SRL,Olimpia Mihaela Oltean,steelcase.com
984,SYKES ENTERPRISES EASTERN EUROPE,John Chapman,sykes.com;sykes.eu
985,T S I. RO SRL,Schwartz Thomas,ro.com
992,TEHNOFAVORIT SA,Andrei Zsolt Buzogany,tehnofavorit.ro
993,TELENAV SOFTWARE SRL,Barabas Mihai,telenavsoftware.com
994,TELLUS INVEST SRL,Anica Capusan,tellusinvest.com
995,TERAPIA SA,Damian Dragos Eugen,terapia.ro;terapia.com
997,TERAX SRL,Marusciac Mihai Florin,terax.ro;terax.com
1000,TERRA STRUCTURES,Pop Lucian Marian,terrastructures.com;terra-structures.com
1001,THOMSONS ONLINE BENEFITS SRL,Ioana Anca Ielciu,thomsonsonlinebenefits.net
1005,TORA TRADING,Preda Razvan,toratrading.com;toratrading.net
1008,TRANSART SRL,Iurian Marius Florin,transart.ro;transart.com
1012,TRANSINVEST SRL,Victor Tighinean,transinvest.net
1013,TRANSYLVANIAN WELLNESS PRODUCTS SRL,Vitus Csaba,transylvanian.com;transylvanian.net
1017,UBB,Prof. Univ. Dr. Daniel David,ubb.com;ubb.eu
1020,UNIQA RAIFFEISEN SOFTWARE SERVICE,Iuliana Stoica,uniqa.ro;uniqa.com
1021,UNIV. DE MEDICINA SI FARMACIE ”IULIU HATIEGANU”,Anca Dana Buzoianu,univ.com;univ.net
1022,UNIV. DE STIINTE AGRICOLE SI MEDICINA VETERINARA,Cornel Catoi,univ.com;univ.net
1025,UP VISION SRL,Ungureanu Sergiu,upvision.ro;upvision.com
1026,URCARN SRL,Urcan Vasile,urcarn.ro
1027,USAMV CLUJ,Lucian Nas,usamvcluj.ro
1028,UTILBEN SRL,Oana Marian,utilben.ro;utilben.com
1030,VENUS IMPEX SRL,Bere Mircea,venusimpex.com;venusimpex.net
1037,VITI & SCOPE SRL,Mihaila Moldovan Vlad,vitiscope.eu
1043,WINCON SRL,Bogdan Irsik,wincon.ro;wincon.eu
1044,WIND ENERGY SERVICE EAST EUROPE SRL,Muresan Teofil- Ovidiu,wind.com;wind.eu
1046,WOLFPACK DIGITAL SRL,Lupu Florian Georgiana,wolfpack-digital.com
1049,YARDI,Morrell Gordon,yardi.com
1050,YONDER SRL,Mihai Nadas,yonder.com
1051,ZIPPER SERVICES SRL,Molnar Gergely,zipper-services.ro
1066,ANDRADA SRL,Teaca Alexandra,andrada.ro;andrada.com
1068,APA CANAL SA,Stan Gelu,apacanal.ro;apa-canal.ro
1069,ARABESQUE SRL,Rapotan Cezar Virgil,arabesque.ro;arabesque.com
1070,ARCADA COMPANY SA,Huma Mihai,arcadacompany.ro;arcada-company.com
1081,CHESCA SPEDITION SRL,Chesca Adrian Octavian,chescaspedition.com
1082,CHORUS RESEARCH ENGINEERING DISTRIBUTION SRL,Cisleanu Catalin,chorus.ro;chorus.com
1086,CLM TRANS SRL,Cioromila Liviu,clmtrans.com
1088,COMP. DE NAVIGATIE FLUVIALA ROMANA NAVROM SA,Tiganus Eduard Catalin,comp.ro
1089,CRIOMEC SA,Serban Alexandru,criomec.ro;criomec.com
1096,ECO METAL RECYCLING SRL,Pruteanu Sorin,ecometalrecycling.com
1097,EUXIN SRL,Toader Bogdan Cristian,euxin.ro;euxin.eu
1101,GENDAV SRL,Neagu David,gendav.ro
1102,GRANDE GLORIA PRODUCTION SA,Yildirir Asilyilmaz,grandegloriaproduction.ro;grandegloriaproduction.com
1107,LABORATORIUM SRL,Melinte Ionut,laboratorium.ro;laboratorium.com
1109,LIBERTY GALATI SA,Aggarwal Ajay Kumar,libertygalati.ro;libertygalati.com
1110,LIBERTY TUBULAR PRODUCTS GALATI SA,Gupta Sanjeev,liberty.ro;liberty.eu
1112,LUNOK SRL,Vasoi Florin Mugurel,lunok.ro
1116,MARCOSER SRL,Petrache Adelina,marcoser.ro;marcoser.com
1120,MYOSOTIS SRL,Chiriac Bogdan Aurelian,myosotis.net
1121,NADICER SRL,Ani Daniel,nadicer.ro
1124,NOMIS 2003 SRL,Simion Catalin,nomis2003.ro
1128,PENTAGON SRL,Ionita Valentin,pentagon.ro;pentagon.eu
1129,PRUTUL AGRI TRADE SRL,Popliaca Doina,prutulagritrade.ro
1130,PRUTUL SA,Andreev Marian,prutul.ro;prutul.com
1131,QUANTUM CONSTRUCT SRL,Istudor Daniel,quantumconstruct.com;quantumconstruct.eu
1136,ROVIS LIDER SRL,Gheorghe Gabriel Robert,rovislider.ro
1137,S.F.TEX SA,Mocanu Nelu,tex.ro;tex.com
1138,SANTIERUL NAVAL DAMEN GALATI SA,Zielhuis Lambert,santierul.ro
1141,TRANSURB SA,Anghel Adrian Nicu,transurb.ro;transurb.com
1144,VIDAFAN SRL,Florea Viorel,vidafan.net
1146,A & S MED WAREHOUSE SRL,Oprea Mugurel Adrian,medwarehouse.com;medwarehouse.net
